Country Name,Country Code,Year,Ratio
Brunei Darussalam,BRN,2019,75.15800969
Bulgaria,BGR,2019,79.21608833
Burkina Faso,BFA,2019,77.5686441
Burundi,BDI,2019,103.0090973
Cabo Verde,CPV,2019,78.38859169
Cambodia,KHM,2019,87.78398764
Cameroon,CMR,2019,79.93018267
Canada,CAN,2019,86.91327544
Central African Republic,CAF,2019,79.60507996
Chad,TCD,2019,67.8478039
Channel Islands,CHI,2019,79.09922804
Chile,CHL,2019,71.41926995
China,CHN,2019,83.46233511
Colombia,COL,2019,68.26567304
Comoros,COM,2019,66.64266365
"Congo, Dem. Rep.",COD,2019,89.55285952
"Congo, Rep.",COG,2019,95.41845801
Costa Rica,CRI,2019,69.16014114
Cote d'Ivoire,CIV,2019,77.20937904
Croatia,HRV,2019,77.81320395
Cuba,CUB,2019,64.87302594
Cyprus,CYP,2019,83.38351394
Czechia,CZE,2019,76.59188097
Denmark,DNK,2019,86.74994023
Djibouti,DJI,2019,40.34504625
Dominican Republic,DOM,2019,67.21804319
Ecuador,ECU,2019,69.59497493
"Egypt, Arab Rep.",EGY,2019,23.19007999
El Salvador,SLV,2019,60.38714592
Equatorial Guinea,GNQ,2019,80.08752735
Eritrea,ERI,2019,85.96749667
Estonia,EST,2019,82.07374327
Eswatini,SWZ,2019,87.45792366
Ethiopia,ETH,2019,76.17963703
Fiji,FJI,2019,50.27728121
Finland,FIN,2019,88.6183132
France,FRA,2019,84.83482225
French Polynesia,PYF,2019,79.08472197
Gabon,GAB,2019,69.52474196
"Gambia, The",GMB,2019,89.19694451
Georgia,GEO,2019,75.10157022
Germany,DEU,2019,83.00034267
Ghana,GHA,2019,92.51091671
Greece,GRC,2019,73.95346466
Guam,GUM,2019,82.50391649
Guatemala,GTM,2019,45.22706774
Guinea,GIN,2019,65.76278042
Guinea-Bissau,GNB,2019,81.31433096
Guyana,GUY,2019,64.43362142
Haiti,HTI,2019,88.74808483
Honduras,HND,2019,57.40815207
"Hong Kong SAR, China",HKG,2019,81.57004759
Hungary,HUN,2019,77.41372041
Iceland,ISL,2019,89.7118152
India,IND,2019,34.65745914
Indonesia,IDN,2019,65.31355932
"Iran, Islamic Rep.",IRN,2019,23.87017081
Iraq,IRQ,2019,15.73066298
Ireland,IRL,2019,81.88665501
Israel,ISR,2019,87.16120034
Italy,ITA,2019,69.44727545
Jamaica,JAM,2019,80.49020003
Japan,JPN,2019,74.65365416
Jordan,JOR,2019,21.87465034
Kazakhstan,KAZ,2019,87.27135124
Kenya,KEN,2019,86.16399649
"Korea, Dem. People's Rep.",PRK,2019,89.57509369
"Korea, Rep.",KOR,2019,74.38064543
Kuwait,KWT,2019,56.51376147
Kyrgyz Republic,KGZ,2019,66.88414035
Lao PDR,LAO,2019,87.71651641
Latvia,LVA,2019,81.67790571
Lebanon,LBN,2019,41.59411439
Lesotho,LSO,2019,72.88562028
Liberia,LBR,2019,88.19323719
Libya,LBY,2019,53.07116105
Lithuania,LTU,2019,84.36804317
Luxembourg,LUX,2019,84.53742802
"Macao SAR, China",MAC,2019,85.48754335
Madagascar,MDG,2019,94.38078097
Malawi,MWI,2019,88.95775042
Malaysia,MYS,2019,66.02823223
Maldives,MDV,2019,53.45982434
Mali,MLI,2019,72.38543919
Malta,MLT,2019,71.2807464
Mauritania,MRT,2019,45.80998761
Mauritius,MUS,2019,63.65107223
Mexico,MEX,2019,58.38425766
Moldova,MDA,2019,96.87145611
Mongolia,MNG,2019,78.68197703
Montenegro,MNE,2019,74.33690052
Morocco,MAR,2019,31.30325385
Mozambique,MOZ,2019,97.97454719
Myanmar,MMR,2019,61.66162699
Namibia,NAM,2019,88.0827696
Nepal,NPL,2019,51.09076418
Netherlands,NLD,2019,85.80224556
New Caledonia,NCL,2019,85.61598688
New Zealand,NZL,2019,86.86527464
Nicaragua,NIC,2019,58.75152999
Niger,NER,2019,71.2091611
Nigeria,NGA,2019,90.09661271
North Macedonia,MKD,2019,67.07044149
Norway,NOR,2019,90.85846596
Oman,OMN,2019,34.06500299
Pakistan,PAK,2019,29.46276906
Panama,PAN,2019,69.69116028
Papua New Guinea,PNG,2019,95.59555137
Paraguay,PRY,2019,71.24058595
Peru,PER,2019,82.57179233
Philippines,PHL,2019,64.14707057
Poland,POL,2019,74.53583716
Portugal,PRT,2019,85.05818851
Puerto Rico,PRI,2019,65.71765364
Qatar,QAT,2019,61.63596153
Romania,ROU,2019,69.59705184
Russian Federation,RUS,2019,78.27241576
Rwanda,RWA,2019,78.95818428
Samoa,WSM,2019,59.80587476
Sao Tome and Principe,STP,2019,96.18782926
Saudi Arabia,SAU,2019,29.9364779
Senegal,SEN,2019,58.07054136
Serbia,SRB,2019,75.09196344
Sierra Leone,SLE,2019,91.95847232
Singapore,SGP,2019,81.71244283
Slovak Republic,SVK,2019,77.36372264
Slovenia,SVN,2019,84.16687689
Solomon Islands,SLB,2019,95.51610691
Somalia,SOM,2019,44.67837248
South Africa,ZAF,2019,79.76298159
South Sudan,SSD,2019,93.84379665
Spain,ESP,2019,81.94214811
Sri Lanka,LKA,2019,47.16531616
St. Lucia,LCA,2019,87.61017342
St. Vincent and the Grenadines,VCT,2019,73.28246304
Sudan,SDN,2019,29.41055431
Suriname,SUR,2019,68.77705385
Sweden,SWE,2019,90.38217874
Switzerland,CHE,2019,85.56681453
Syrian Arab Republic,SYR,2019,21.30118577
